Startup,URL,Opportunity Space,Country,Business Description,Year Founded,"Maturity (Existing, Emerging, Distant)",Total funding (US$),RMI Terminology Funding Round
Vexi,https://vexi.mx,Digital Banks,Mexico,Vexi is a leading Challenger Bank based in Mexico City. It developed a proprietary first credit card experience for the underbanked population which includes approximately 30M people in Mexico alone.,2016,Ready to Scale,1500000,Venture Capital / CVC
GlobalPay Solutions,www.globalpay.us,Payments & Remittances,El Salvador,Creamos soluciones para facilitar las transacciones del dia a dia,2011,Growth and Expansion,1600000,Venture Capital / CVC
AlzirPay (APAY),alzir.hn,Enterprise Financial Management,Honduras,Soluciones tecnológicas a tu alcance,1993,Demo/Prototype,1610000,Venture Capital / CVC
Out Red Soluções Financeiras,https://outred.com.br/,Consumer Lending,Brazil,A Out Red é uma fintech especialista em crédito com garantia de imóveis e veículos,2012,Ready to Scale,0,No Funding Received / No Hemos Recibido Fondos
Focus,www.soyfocus.com,Wealth Management,Chile,"Focus acompaña a personas en el proceso de invertir para alcanzar sus metas. Lo hace de forma simple, justa y con apoyo de tecnología.",2018,Ready to Scale,1800000,Venture Capital / CVC
CREDJET,CREDJET.COM.BR,Consumer Lending,Brazil,personal loans,2018,Ready to Scale,5000,Pre-Seed
Cryptobuyer,www.cryptobuyer.io,Payments & Remittances,Panama,Conector de activos digitales que usando blockchain y criptomonedas ofrece real inclusion financiera en países emergentes.,2015,Growth and Expansion,2000000,Venture Capital / CVC
DATAR,www.datar.com.mx,Insurance,Mexico,Data Aquisition and fraud reduction for Insurance and Financial companies,2018,Growth and Expansion,2000000,Pre-Seed
Leasing Club,www.leasingclub.com.ar,Consumer Lending,Argentina,We provide a car financing platform improving customer's experience buying financed cars,2018,Beta Version ready for Commercial Release,45000,Pre-Seed
Rocket.la,www.rocket.la,Personal Financial Management,Mexico,"Rocket.la es una herramienta financiera personal gratuita que ayuda a las personas a tomar mejores decisiones, impactando positivamente en su calidad de vida.",2014,Growth and Expansion,2000000,Venture Capital / CVC
ZAP! Consignado,https://www.zapconsignado.com.br,Consumer Lending,Brazil,A ZAP! Consignado realiza educação financeira para o aposentado através da portabilidade de dívidas com juros altos para juros mais baixos.,2018,Ready to Scale,50000,Pre-Seed
Play Business,playbusiness.mx,Crowdfunding,Mexico,Crowdfunding más grande de Latinoamerérica,2014,Launched,2000000,Venture Capital / CVC
TuCuota.online,www.tucuota.online,Consumer Lending,Argentina,Somos una plataforma en la nube que permite a empresas financieras licitar sus préstamos en comercios o clínicas de salud adheridas a la red de www.TuCuota.online,2017,Ready to Scale,52142,Pre-Seed
khipu,https://khipu.com,Enterprise Financial Management,Chile,"Solución de pagos y tecnología de autómatas para hacer que funcionen bien en una app, medios de pago pensados para páginas web",2012,Ready to Scale,2000000,Venture Capital / CVC
Linker,www.linker.com.br,Digital Banks,Brazil,Conta 100% Digital para a pessoa jurídica,2019,Ready to Scale,2000000,Venture Capital / CVC
CloQ,www.cloq.com.br,Consumer Lending,Brazil,CloQ offers nano-loans to people (informal business owners) in order to build a credit history that can (re-)include them in the financial system.,2018,Beta Version ready for Commercial Release,55000,Pre-Seed
DIVERZA,www.diverza.com,Enterprise Financial Management,Mexico,"Diverza offers a range of electronic invoicing and accounting services. Its product payroll tax is a web service issue, certification and protection of electronic payroll vouchers, ideal for small and medium enterprises. Fiscal mailbox is a service to the issue, receipt, consultation and delivery of Digital Tax Receipts over the Internet through a referral capture web portal, or an import text file.  ",2003,Ready to Scale,2000000,Venture Capital / CVC
Atrato,www.atratopago.com,Consumer Lending,Mexico,Atrato es un método de pago que permite a pequeños negocios ofrecer financiamiento sin tarjeta de crédito a sus clientes finales,2019,Launched,150000,Pre-Seed
Simetrik,www.simetrik.com,Enterprise Financial Management,Colombia,Saas that lets financial teams catch transactional errors and inconsistencies.,2018,Launched,2200000,Venture Capital / CVC
Minka,www.minka.io,Enterprise Technology for Financial Institutions,Colombia,"Minka es una nube de servicios financieros con conceptos Blockchain que construyó una única infraestructura abierta para el uso del dinero en América Latina (transferencias en tiempo real, seguras y a bajo costo). Es una plataforma/solución 100 % en la nube que conecta al sistema tradicional bancario y a las Fintechs con la Web, permitiendo crear productos financieros en días, en vez de años.",2017,Launched,2500000,Venture Capital / CVC
PEIKY,http://peiky.com/,Digital Banks,Colombia,"Somos una plataforma de social commerce embebida en un teclado de celular, dirigida a los Social Sellers o personas que venden productos y servicios a través de redes sociales, que incorpora adicionalmente una oferta de valor de servicios financieros integrales sobre la tracción de dicha comunidad.",2018,Growth and Expansion,2588000,Seed
BUSQO.COM,https://www.busqo.com/,Insurance,Colombia,Busqo.com is an online insurance broker,2011,Growth and Expansion,3000000,Venture Capital / CVC
Fináncialo Mejor,financialomejor.com,Consumer Lending,Colombia,"Somos un integrador y facilitador del ecosistema financiero, en el que los stakeholders pueden encontrar productos y servicios para optimizar y facilitar su objetivo.",2018,Ready to Scale,150000,Pre-Seed
123Seguro,123seguro.com,Insurance,Argentina,Digital insurance broker,2010,Growth and Expansion,3000000,Venture Capital / CVC
Auto Chilango,www.autochilango.com,Insurance,Mexico,"Administramos el ciclo de vida del auto, desde que lo compras, lo mantienes, gestionas su riesgo y lo vendes",2014,Ready to Scale,3000000,Pre-Seed
Increase,increase.app,Enterprise Financial Management,Argentina,Our mission is to empower businesses to be better businesses.,2014,Growth and Expansion,3500000,Venture Capital / CVC
Paykii,paykii.com,Payments & Remittances,Mexico,Global Bill Payment Hub,2015,Ready to Scale,3700000,Venture Capital / CVC
ASAAS,www.asaas.com,Enterprise Financial Management,Brazil,ASAAS helps entrepreneurs reduce the amount of time they take to receive money,2014,Growth and Expansion,4000000,Venture Capital / CVC
GCS,www.gcs-international.com,Payments & Remittances,Dominican Republic,Una empresa especializada en tecnología de vanguardia para el procesamiento a gran escala de transacciones financieras.,2009,Growth and Expansion,4000000,Venture Capital / CVC
Nubi,Www.tununi.com,Personal Financial Management,Argentina,"Nubi is wallet, P2P & remittances.",2016,Launched,4000000,Venture Capital / CVC
AMIPASS,www.amipass.com,Digital Banks,Chile,Moneda de valor agregado para consumers & merchants,2011,Ready to Scale,4000000,Venture Capital / CVC
Enso,www.joinenso.com,Digital Banks,Mexico,Challenger bank that started with P2P transfers.,2018,Ready to Scale,4000000,Seed
Fondeadora,fondeadora.com,Digital Banks,Mexico,"Fondeadora es una app ligada a una tarjeta de débito que te permite acceder y controlar tu dinero, siempre. Con los viejos bancos, llevar a cabo las operaciones más simples ocasiona un desperdicio de tiempo, dinero y energía. Fondeadora llega a resolver las ineficiencias de los viejos bancos, para devolverte tu tiempo, dinero y energía.",2018,Ready to Scale,4000000,Venture Capital / CVC
Bitso,www.bitso.com,Digital Banks,Mexico,"Bitso is Mexico’s first Bitcoin exchange, offering a platform for trading of Bitcoin + 9 other crypto currencies with Mexican Peso and store them all in one place. Bitso offers the highest level of professionalism and security to Bitcoin trading and can be accessed directly at bitso.com. Bitso exchange operates as a traditional currency exchange with a central limit order book.",2014,Beta Version ready for Commercial Release,4400000,Venture Capital / CVC
FriendlyTransfer,www.friendlytransfer.com,Consumer Lending,Ecuador,Avoid International Transfers Fees,2016,Growth and Expansion,170000,Pre-Seed
Colppy,www.colppy.com,Enterprise Financial Management,Argentina,"Colppy es un sistema de gestión administrativa y contable. Colppy es el único sistema simple, económico y seguro que verdaderamente conecta al estudio contable con sus clientes. Las pequeñas y medianas empresas llevan ahí su administración, y el estudio contable accede a los reportes en tiempo real, desde cualquier lugar y dispositivo.",2012,Growth and Expansion,4500000,Venture Capital / CVC
LiberTec,www.libertec.co,Consumer Lending,Colombia,"LiberTec es una Fintech enfocada en ofrecer créditos pequeños, rápidos y fáciles para empleados en la modalidad de libranza.",2019,Launched,180000,Seed
Ripio,ripio.com,Enterprise Financial Management,Argentina,La puerta de acceso a la nueva economía digital en America Latina!,2014,Growth and Expansion,4600000,Venture Capital / CVC
KiWi,conkiwi.com,Payments & Remittances,Mexico,KiWi es la terminal móvil con la comisión mas baja del mercado para aceptar tarjetas de crédito o débito desde tu celular android sin plazos forzosos ni mensualidades o anualidades.,2015,Ready to Scale,4600000,Venture Capital / CVC
Impesa,www.impesa.net,Payments & Remittances,Costa Rica,Payments and Technology providers for the Banking Industry,2016,Growth and Expansion,5000000,Venture Capital / CVC
PALGO,palgo.pe,Consumer Lending,Peru,Financiamos a los no bancarizados en el punto de venta.,2018,Growth and Expansion,200000,Venture Capital / CVC
Pagofon (COLTOMONEY),www.pagofon.net,Payments & Remittances,Mexico,Billetera electrónica para sector no bancarizado.,2016,Ready to Scale,5000000,Pre-Seed
Puntopay,puntopay.co,Payments & Remittances,Colombia,Innovacion y tecnolgia a comercios para medios de pago diferentes al efectivo,2019,Ready to Scale,5000000,Venture Capital / CVC
Destacame,www.destacame.cl,Personal Financial Management,Chile,Plataforma gratuita q ayuda a las personas a mejorar su salud financiera y a acceder a más y mejores productos,2014,Growth and Expansion,5200000,Venture Capital / CVC
Tpaga,www.tpaga.co,Payments & Remittances,Colombia,Through our mobile wallet (and its rails) we are connecting financial institutions with 100% of the population and merchants.,2015,Ready to Scale,5250000,Venture Capital / CVC
Comparaencasa,www.comparaencasa.com,Insurance,Argentina,Digital Insurance Broker,2009,Ready to Scale,5700000,Venture Capital / CVC
FINLOOP,www.finloop.com.mx,Consumer Lending,Mexico,"Finloop es la app que formaliza y administra préstamos entre conocidos, dando seguridad y confianza a las partes",2017,Ready to Scale,260000,Venture Capital / CVC
Bankingly,www.bankingly.com,Enterprise Technology for Financial Institutions,Uruguay,Bankingly enables financial health and inclusion for all,2015,Growth and Expansion,6000000,Venture Capital / CVC
dinerofull,dinerofull.com.ar,Consumer Lending,Argentina,Otorgamos préstamos personales al público sub-bancarizados,2012,Growth and Expansion,300000,Venture Capital / CVC
Mobilender,mobilender.mx,Enterprise Technology for Financial Institutions,Mexico,"Fintech SAAS, We help Financial Institutions to become a Fintech Company",2013,Growth and Expansion,6000000,Venture Capital / CVC
Powwi,http://powwi.co,Digital Banks,Colombia,Solución Financiera para modelos de negocio no financieros,2017,Growth and Expansion,6000000,Pre-Seed
Minuto Seguros,www.minutoseguros.com.br,Insurance,Brazil,Online insurance distributor,2011,Launched,6000000,Pre-Seed
Magnetis,www.magnetis.com.br,Wealth Management,Brazil,Magnetis is an online investment management service who uses technology to help people invest in what really matters.,2015,Growth and Expansion,6400000,Venture Capital / CVC
Global66.com,www.global66.com,Digital Banks,Chile,"Transferencias internacionales de manera digital, rápido, seguro y muy convenientes",2017,Growth and Expansion,6500000,Venture Capital / CVC
minu,www.minu.mx,Personal Financial Management,Mexico,"minu revolutionizes the financial health of Mexican employees, offering them access to their already worked salary when they need it, instead of having to wait for payroll. minu works with HR areas of companies that offer the provision of minu to improve satisfaction, retention, and attraction of talent.",2019,Ready to Scale,6500000,Venture Capital / CVC
Airtm,airtm.io,Payments & Remittances,Mexico,"Tu cuenta en dólares para enviar y recibir, en cualquier moneda con más de 200 métodos de pagos.",2016,Ready to Scale,7000000,Venture Capital / CVC
Pier,www.pier.digital,Insurance,Brazil,"Pier is a customer-driven, full stack insurtech. We offer simple, transparent and tech-based products in P&C.",2018,Growth and Expansion,8200000,Venture Capital / CVC
Billpocket,https://www.billpocket.com,Digital Banks,Mexico,Billpocket is a financial services platform that enables anyone in Mexico to accept card payments and have access to credit.,2012,Growth and Expansion,8600000,Venture Capital / CVC
Oyster Financial,Oyster.io,Digital Banks,Mexico,"Oyster is building digital financial services for freelancers, startups and SME’s in Mexico. ",2019,Ready to Scale,8700000,Venture Capital / CVC
Juancho te Presta,www.juanchotepresta.com,Consumer Lending,Colombia,Ofrecemos créditos de libre inversión con montos entre 300 y 1500 USD a plazos de 12 a 24 meses,2018,Ready to Scale,300000,Venture Capital / CVC
Zinobe,www.zinobe.com,Enterprise Financial Management,Colombia,Soluciones financieras modernas para todos,2011,Growth and Expansion,10000000,Venture Capital / CVC
Unit,https://unit.com.do,Insurance,Dominican Republic,Unit is an Insuretech that offers simple and easy individual insurance solutions in the DR,2019,Ready to Scale,10000000,Venture Capital / CVC
Puntored,Puntored.co,Digital Banks,Colombia,Puntored helps Small underbanked merchants to become more competitive with key financial services,2005,Growth and Expansion,11000000,Venture Capital / CVC
kubo.financiero,kubofinanciero.com,Digital Banks,Mexico,En kubo.financiero impulsamos el bienestar de nuestros clientes a través de préstamos personales y planes de inversión,2012,Growth and Expansion,11300000,Seed
Ohne Empréstimo Pessoal Online,www.ohne.com.br,Consumer Lending,Brazil,Empréstimo Pessoal Online,2017,Ready to Scale,300000,Venture Capital / CVC
Somos Moto,www.somosmoto.pe,Consumer Lending,Peru,"Somos Moto is LatAm unique digital motorcycle buying and financing marketplace. Our platform connects buyers with dealers and lenders, providing a friction free, fast and informed shopping and financing experience.",2017,Ready to Scale,817500,Venture Capital / CVC
"TODOMOVIL, S.A. DE C.V.",www.todomovil.hn,Digital Banks,Honduras,"SaaS para procesar transacciones móviles y en punto de venta para instituciones financieras, comercios y distribuidoras.",2012,Growth and Expansion,12000000,Venture Capital / CVC
Baubap,www.baubap.com,Consumer Lending,Mexico,24/7 micro-financing service to underserved people using alternative scoring,2018,Ready to Scale,1000000,Venture Capital / CVC
Solven,Solven.la,Consumer Lending,Peru,We connect borrowers with banks online,2016,Growth and Expansion,1250000,Seed
Waynimóvil,www.waynimovil.com,Consumer Lending,Argentina,Wayni Movil es un fintech de micropréstamos (entre $2.000 y $10.000) con foco en el segmento sub-bancarizado (tienen una cuenta de banco pero no tienen acceso al crédito.,2017,Growth and Expansion,1500000,Venture Capital / CVC
CrediFace,www.crediface.pe,Consumer Lending,Peru,CrediFace cumple 5 años dando creditos 100% Online en Perú.,2015,Ready to Scale,1500000,Seed
STORI,www.storicard.com,Digital Banks,Mexico,Driving financial inclusion in Mexico through technology.,2018,Launched,17000000,Venture Capital / CVC
Kredito,Kredito.cl,Consumer Lending,Chile,Estamos demo traficando el acceso a tasas de interés justas,2019,Ready to Scale,1500000,Seed
AlphaCredit,https://www.alphacredit.com,Consumer Lending,Mexico,AlphaCredit es una de las empresas de tecnología que brinda servicios financieros con mayor crecimiento en Latinoamérica,2010,Growth and Expansion,1700000,Venture Capital / CVC
RAPICREDIT - COMPAÑÍA DE CREDITOS RAPIDOS SAS,www.rapicredit.com,Consumer Lending,Colombia,"RapiCredit es una FINTECH - LENDING que tiene por objeto social el desarrollo de productos y servicios que promuevan la inclusión financiera y el acceso al crédito de las personas, a partir del desarrollo de plataformas tecnológicas logrando una democratización y profundización en el acceso al crédito.",2013,Growth and Expansion,2000000,Venture Capital / CVC
Resuelve tu Deuda,www.resuelvetudeuda.com,Personal Financial Management,Mexico,"Es la primera reparadora de crédito en México. Orienta a sus clientes para que cubran sus obligaciones financieras sin necesidad de acudir a otros créditos. Desde 2009, han liquidado más de 175.000 créditos en Latam logrando reducciones de hasta un 70% del monto adeudado.",2011,Growth and Expansion,24000000,Venture Capital / CVC
albo,albo.mx,Digital Banks,Mexico,The leading challenger bank in México,2016,Growth and Expansion,26000000,Venture Capital / CVC
Virtuspay,www.usevirtus.com.br,Consumer Lending,Brazil,We provide installments for those who want to buy online without a credit card.,2017,Growth and Expansion,2000000,Venture Capital / CVC
Multicaja,www.multicaja.cl,Payments & Remittances,Chile,Empresa de teconología y medios de pago,2007,Launched,30000000,Venture Capital / CVC
Credihome,www.credihome.com.br,Consumer Lending,Brazil,"CrediHome ia a mortgage broker and mortgage Lender, connecting customers to multiple banks automatically",2018,Ready to Scale,2000000,Venture Capital / CVC
Tiaxa,www.tiaxa.com,"Scoring, Identity & Fraud",Chile,Tiaxa is a leading global provider of analytics services and nanocredits through mobile phone,2000,Launched,32000000,Venture Capital / CVC
Unobank,www.unobank.com.br,Consumer Lending,Brazil,Unobank é uma plataforma de empréstimos totalmente online com as melhores taxas do Brasil inclusive para negativados! Crédito rápido com liberação do dinheiro em até 48h.,2017,Ready to Scale,2000000,Venture Capital / CVC
Neon,https://neon.com.br/,Personal Financial Management,Brazil,Neon is a Brazilian fintech whose mission is to unite technology and design to redesign and simplify people's financial experience,2016,Ready to Scale,94000000,Venture Capital / CVC
Adelantos.com,https://www.adelantos.com.ar/,Consumer Lending,Argentina,"Otorgamos adelantos de sueldo instantáneos e inclusivos de manera 100% online, 24/7.",2015,Growth and Expansion,2040000,Pre-Seed
CrediTú,www.creditu.cl,Consumer Lending,Chile,Queremos revolucionar la manera en que las personas acceden al financiamiento en Latinoamérica,2016,Growth and Expansion,4500000,Venture Capital / CVC
Nébula Link,www.nebulalink.mx,Consumer Lending,Mexico,"Nébula Link es una plataforma que busca regresarle el lado humano a las finanzas, certificando personas para que faciliten nuestros préstamos a sus conocidos y generen un ingreso extra por ello",2017,Ready to Scale,5000000,Seed
Clip,www.clip.mx,Payments & Remittances,Mexico,"Clip is changing card acceptance in Mexico, offering different models of portable card-reading hardware to accept all credit and debit cards as well as other solutions. More than a device to accept all cards, Clip is an ally focused on empowering Mexican businesses.",2012,Ready to Scale,101300000,Venture Capital / CVC
Mercado Pago,www.mercadopago.com.ar,Payments & Remittances,Argentina,"Mercado Libre emplea a más de 10.000 personas en toda la región. /
Mercado Pago es la compañía que está liderando la inclusión financiera en América Latina.",1999,Growth and Expansion,800000000,Venture Capital / CVC
Wondersoft,www.wondersoft.com.ar,Enterprise Financial Management,Argentina,Somos la primera Fintech de Argentina. Procesamos y conciliamos 34 millones de transacciones anuales con tarjetas de crédito y débito..,1996,Beta Version ready for Commercial Release,N/A,Seed
ContappMX,www.contapp.mx,Personal Financial Management,Mexico,Servicio Online para manejar los impuestos y finanzas de personas físicas,2017,Beta Version ready for Commercial Release,N/A,Pre-Seed
EVVA Finanzas,https://evvafinanzas.com/,Digital Banks,Mexico,Inclusión financiera para emprendedores mexicanos a través de nuestra cuenta bancaria totalmente digital.,2018,Beta Version ready for Commercial Release,N/A,Pre-Seed
Marcos,https://marcos.do,Enterprise Financial Management,Dominican Republic,Desarrollo de Saas para pymes,2014,Beta Version ready for Commercial Release,N/A,Seed
Avista,avista.co,Consumer Lending,Colombia,En Avista queremos reinventar la vida financiera de nuestros clientes y sus familias creando un ecosistema de soluciones simples y de fácil acceso empezando con la libranza digital enfocada en los segmentos bajos de la poblacion,2019,Growth and Expansion,6000000,Venture Capital / CVC
Sofía,www.sofiasalud.com,Insurance,Mexico,"Sofía es una compañía de salud y tecnología que busca cambiar la manera en que la gente cuida de su salud, con un producto completo, desde una videoconsulta con un internista hasta un seguro que cubre accidentes o enfermedades graves, sin burocracia, sin intermediarios, via un app.",2018,Beta Version ready for Commercial Release,N/A,Venture Capital / CVC
Te Enviei,teenviei.com.br,Payments & Remittances,Brazil,Digital Wallet for international remittances,2018,Beta Version ready for Commercial Release,N/A,Pre-Seed
ePesos,www.epesos.com,Consumer Lending,Mexico,"ePesos permite a los trabajadores en México tener liquidez diaria a sus nóminas, evitando el uso de créditos abusivos.",2015,Growth and Expansion,6000000,Venture Capital / CVC
Moni,Moni.com.ar,Consumer Lending,Argentina,"Moni is a wallet with credit. Once a customer registers on the platform, they can instantly access a credit line and use the wallet for all their payments, saving and transactions needs.",2015,Growth and Expansion,10000000,Venture Capital / CVC
VentiPay,https://www.ventipay.com/,Payments & Remittances,Chile,One-time and recurring payments for digital and physical stores,2017,Beta Version ready for Commercial Release,N/A,Pre-Seed
Vlipco,vlipco.com,Payments & Remittances,Colombia,Vlipco provides payment experiences and products for the financial sector.,2014,Beta Version ready for Commercial Release,N/A,Pre-Seed
VU SECURITY,https://www.vusecurity.com/,"Scoring, Identity & Fraud",Argentina,Frictionless fraud prevention & identity protection solutions #cybersecurity #security #infosec #cyber #identity,2019,Beta Version ready for Commercial Release,N/A,Venture Capital / CVC
Altec,www.laitcorp.com,Enterprise Financial Management,Honduras,Banking services for Cas PI and TI,1992,Concept/Idea,N/A,Seed
AxxiS Soluciones,www.axxis.com.mx,Payments & Remittances,Mexico,"We will make payments easier, faster and available to everyone everywhere and will eliminate the need for cash",2004,Demo/Prototype,N/A,Seed
ASOPAYMENTS,www.asopagos.com,Payments & Remittances,Colombia,EMPRESA DE SOLUCIONES INNOVADORAS CON FOCO EN PAGOS DIGITALES Y MARKETPLACES FINANCIEROS,2018,Concept/Idea,N/A,Pre-Seed
Diseña tu Salud,https://disenatuvida.com/,Enterprise Financial Management,Peru,Diseño Ciencia Salud,2013,Concept/Idea,N/A,Seed
Avanquia,avanquia.com,Enterprise Financial Management,Mexico,"Convertimos tú número celular en un wallet digital, para que tengas los beneficios de un banco, pero de manera sencilla y desde donde quieras",2010,Growth and Expansion,N/A,Seed
AVANSI,www.viafirma.do,Enterprise Technology for Financial Institutions,Dominican Republic,DESARROLLO DE SOLUCIONES PARA AUTENTICACIÓN Y FIRMA DIGITAL,2005,Growth and Expansion,N/A,Seed
GOCREDIT,www.gocredit.mx,Consumer Lending,Mexico,we provide personal loans via repayment thru payroll and pensions in mexico,2011,Growth and Expansion,12000000,Venture Capital / CVC
Tulkit Pay,www.tulkitpay.com,Payments & Remittances,Mexico,Tulkit Pay es un challenger bank que busca revolucionar el sistema financiero. Para esto hemos creado una cuenta 100% digital y tan inteligente como tu celular. Una tarjeta Mastercard que te acompaña a donde vayas y una app mejor que la de cualquier banco.,2019,Demo/Prototype,N/A,Seed
AVISOR TECHNOLOGIES (eCOLLECT),https://www.ecollect.do/,Enterprise Technology for Financial Institutions,Dominican Republic,"soluciones de pago b2b2c, plataforma de recaudo electrónico y pagos en línea",2007,Growth and Expansion,N/A,Seed
ACOMO,www.acomo.com.pe,Trading & Capital Markets,Peru,Fintech de Cambio de Divisas,2019,Growth and Expansion,N/A,Pre-Seed
Aflore,https://www.aflore.co/,Consumer Lending,Colombia,Aflore es una nueva alternativa de préstamos: flexible y simple. ¡Nos interesan tus metas y queremos que las cumplas a través de préstamos amables.,2014,Growth and Expansion,12500000,Venture Capital / CVC
Bitcointoyou,www.bitcointoyou.com,Trading & Capital Markets,Brazil,Cryptocurrency Exchange,2010,Growth and Expansion,N/A,Seed
Capitaria,www.capitaria.com,Trading & Capital Markets,Chile,Damos acceso al mercado financiero a través de un solo click,2006,Growth and Expansion,N/A,Seed
Circulo de Crédito,www.circulodecredito.com.mx,"Scoring, Identity & Fraud",Mexico,We provide data & analytic services to help lenders make the best decision posible on who to lend to.,2005,Growth and Expansion,N/A,Seed
Emprestimofacil.com + uConecte,EMPRESTIMOFACIL.COM,Enterprise Technology for Financial Institutions,Brazil,"Finance solutions in one place (payroll loan, credit card, digital bank and other loans)",2005,Growth and Expansion,N/A,Seed
AMIGO PAQ,www.amigopaq.com,Enterprise Financial Management,Guatemala,Amigo PAQ es una solución de créditos digitales dirigida al canal tradicional (tiendas de barrio) de empresas de consumo masivo que permite realizar compras sin la necesidad de usar efectivo sino a través de una línea de crédito virtual,2011,Growth and Expansion,N/A,Seed
Financial Systems Company,www.iucollect.com,Enterprise Financial Management,Colombia,We solve debt problems when a customer can't won't or forgets to pay.,1993,Growth and Expansion,N/A,Seed
ForTech,www.admcloud.net,Enterprise Financial Management,Dominican Republic,Cloud ERP Subscription Services for Mid Market Companies in LA,2000,Growth and Expansion,N/A,Seed
InfoDolar.com,www.infodolar.com,Personal Financial Management,Argentina,InfoDolar brinda comparativas del precio del dólar y otras monedas extranjeras de bancos y casas de cambio,2009,Growth and Expansion,N/A,Seed
Rebel,www.rebel.com.br,Consumer Lending,Brazil,"Rebel provides unsecured personal loans to its clients, supported by a robust credit scoring technology that is unmatched among competitors.",2016,Growth and Expansion,17000000,Venture Capital / CVC
Finsocial S.A.S,www.finsocial.co,Consumer Lending,Colombia,Organización que ofrece soluciones financieras de bajo riesgo a través de créditos ágiles y oportunos para docentes públicos y pensionados.,2012,Growth and Expansion,17500000,Venture Capital / CVC
Placetopay,www.placetopay.com,Payments & Remittances,Colombia,Placetopay procesa transacciones inteligentes en territorios seguros,2009,Growth and Expansion,N/A,Seed
Bom Pra Crédito,www.bompracredito.com.br,Consumer Lending,Brazil,"1o and the largets Online Credit Marketplace from Brazil. We bring several credit offers from diferent lenders empowering our customers (individuals borrowers) to make the best choice for their needs. We provide an End-to-End Digital Origination Channel, Data Analytics and Credit as a Service.",2013,Growth and Expansion,18500000,Venture Capital / CVC
Geru,www.geru.com.br,Consumer Lending,Brazil,First and largest 100% online lending platform in Brazil. Simulation from R $ 2 to R $ 50 thousand with immediate response and rates from 2% per month,2015,Ready to Scale,95000000,Venture Capital / CVC
Brain Agriculture,www.brain.agr.br,"Scoring, Identity & Fraud",Brazil,"Brain is a Big Data Company specialized in enriching agribusiness data, bringing agility and security to financial operations. Our purpose is to help companies in the sector to make better decisions before and after granting credit.",2019,Growth and Expansion,N/A,Seed
Afluenta,www.afluenta.com,Consumer Lending,Argentina,Afluenta es el marketplace lending platform líder de Latinoamérica que conecta a solicitantes de crédito con inversores quee están buscando una mejor alternativa para invertir su dinero.,2010,Growth and Expansion,100000000,Venture Capital / CVC
SIAC,www.siac.com.mx,Enterprise Technology for Financial Institutions,Mexico,"Software, procesos y mejores prácticas para entidades Financieras No Bancarias",2004,Growth and Expansion,N/A,Seed
Simply,www.simply.com.br,Enterprise Technology for Financial Institutions,Brazil,"Best enterprise platform applied to registration, underwriting and digital onboarding processes",2006,Growth and Expansion,N/A,Seed
Cash.in,www.cashin.com.br,Payments & Remittances,Brazil,Cash.in is a tech company that solves the sending value ichues between companies and third parties.,2018,Growth and Expansion,N/A,Seed
TOC BIOMETRICS,www.toc.cl,"Scoring, Identity & Fraud",Chile,En TOC Biometrics desarrollamos tecnología inhouse adaptable a las necesidades de cada cliente,2009,Growth and Expansion,N/A,Seed
Clay,www.clay.cl,Enterprise Financial Management,Chile,Clay es un servicio de contabilidad que combina la experiencia de un equipo de contadores con la eficiencia de la automatización y el software.,2015,Growth and Expansion,N/A,Seed
UBCubo SA de CV,http://www.ubcubo.com,Enterprise Technology for Financial Institutions,Mexico,Tecnología para cumplimiento regulatorio,2009,Growth and Expansion,N/A,Seed
Comunidad 4uno,4uno.org,Insurance,Mexico,Comunidad 4Uno (C4Uno) is an online platform that distributes tailored and market-based financial products to low income and financially excluded domestic workers. The company aims to be the largest and most reliable financial product distribution channel for the low income population in Mexico by 2020.,2017,Growth and Expansion,N/A,Seed
Voixty,www.voixty.mx,Payments & Remittances,Mexico,"Somos una plataforma de pedidos, pagos y cobros web/app",1993,Growth and Expansion,N/A,Seed
Conekta,www.conekta.com,Payments & Remittances,Mexico,La forma fácil y segura de pagar en linea en México,2013,Growth and Expansion,N/A,Venture Capital / CVC
Financial Group,www.financialgroup.mx,Enterprise Technology for Financial Institutions,Mexico,Soluciones Financieras tecnológicas para Instituciones Financieras,2010,Ready to Scale,N/A,Seed
RISKO,www.riskoapps.com,Enterprise Financial Management,Peru,Risko: Business Intelligence for Risk Analysis and Risk Management,2010,Ready to Scale,N/A,Seed
DevBlocks,https://www.payblocks.io,Enterprise Financial Management,Mexico,"DevBlocks provides business software solutions for small, medium size companies. It provides e-invoicing, payroll, and e-accounting software.  It's primary product is a cloud-based integration platform that help companies in the integration of the most common scenarios when they want to share information between their internet based enterprise software.",2014,Growth and Expansion,N/A,Seed
Efact S.A.C.,www.efact.pe,Enterprise Financial Management,Peru,Efact offers e-invoice and fiscal compliance in Latin America through a single standardized document standard and API.,2012,Growth and Expansion,N/A,Venture Capital / CVC
ZonaBancos.com,www.zonabancos.com,Personal Financial Management,Argentina,Comparativas de productos y servicios bancarios,2009,Ready to Scale,N/A,Seed
EWALLY,ewally.com.br,Digital Banks,Brazil,Ewally makes life easier for people and business with limited access to financial services,2016,Growth and Expansion,N/A,Venture Capital / CVC
